Synthetic_Label,Human_Review_Note,Publication_Classification,Case_ID,Condition_ID,Topology,VIN_V,Ambient_Temp_C,LED_Current_High_A,LED_VF_High_V,Output_Power_W,Input_Current_A,Switch_Current_Stress_A,Inductor_Current_Stress_A,Thermal_Loss_W,Junction_Temp_C,Max_Ratio,Margin_pct,Pass_Fail_Status,Review_Status,Review_Reason
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-001,SYN-OC-LOWLINE-HOT,Buck LED Driver,9.00,105.0,0.7420,6.592,4.891,0.6367,0.8162,0.8162,0.839,120.1,0.8007,19.93,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-001,SYN-OC-NOMINAL,Buck LED Driver,13.50,85.0,0.7420,6.592,4.891,0.4245,0.8162,0.8162,0.839,100.1,0.6673,33.27,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-001,SYN-OC-HIGHLINE-HOT,Buck LED Driver,16.00,105.0,0.7420,6.592,4.891,0.3581,0.8162,0.8162,0.839,120.1,0.8007,19.93,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-001,SYN-OC-HIGHLOAD-HOT,Buck LED Driver,9.00,105.0,0.7791,6.592,5.136,0.6685,0.8570,0.8570,0.881,120.9,0.8057,19.43,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-002,SYN-OC-LOWLINE-HOT,Buck LED Driver,9.00,105.0,0.8480,8.446,7.162,0.9430,0.9328,0.9328,1.325,128.8,0.8590,14.10,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-002,SYN-OC-NOMINAL,Buck LED Driver,13.50,85.0,0.8480,8.446,7.162,0.6287,0.9328,0.9328,1.325,108.8,0.7256,27.44,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-002,SYN-OC-HIGHLINE-HOT,Buck LED Driver,16.00,105.0,0.8480,8.446,7.162,0.5304,0.9328,0.9328,1.325,128.8,0.8590,14.10,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-002,SYN-OC-HIGHLOAD-HOT,Buck LED Driver,9.00,105.0,0.8904,8.446,7.520,0.9902,0.9794,0.9794,1.391,130.0,0.8669,13.31,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-003,SYN-OC-LOWLINE-HOT,Boost LED Driver,9.00,105.0,0.6360,19.240,12.237,1.6468,1.8939,1.8939,2.585,156.7,1.0446,-4.46,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-003,SYN-OC-NOMINAL,Boost LED Driver,13.50,85.0,0.6360,19.240,12.237,1.0979,1.2626,1.2626,2.585,136.7,0.9113,8.87,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-003,SYN-OC-HIGHLINE-HOT,Boost LED Driver,16.00,105.0,0.6360,19.240,12.237,0.9263,1.0653,1.0653,2.585,156.7,1.0446,-4.46,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-003,SYN-OC-HIGHLOAD-HOT,Boost LED Driver,9.00,105.0,0.6678,19.240,12.848,1.7292,1.9886,1.9886,2.714,159.3,1.0619,-6.19,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-004,SYN-OC-LOWLINE-HOT,SEPIC LED Driver,9.00,105.0,1.0600,13.728,14.552,2.0261,3.3947,3.3947,3.684,N/A,1.5431,-54.31,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-004,SYN-OC-NOMINAL,SEPIC LED Driver,13.50,85.0,1.0600,13.728,14.552,1.3508,2.6518,2.6518,3.684,N/A,1.2054,-20.54,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-004,SYN-OC-HIGHLINE-HOT,SEPIC LED Driver,16.00,105.0,1.0600,13.728,14.552,1.1397,2.4197,2.4197,3.684,N/A,1.0998,-9.98,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-004,SYN-OC-HIGHLOAD-HOT,SEPIC LED Driver,9.00,105.0,1.1130,13.728,15.279,2.1274,3.5645,3.5645,3.868,N/A,1.6202,-62.02,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-005,SYN-OC-LOWLINE-HOT,Linear LED Channel,9.00,105.0,0.3710,10.815,4.012,0.5944,0.3710,N/A,0.000,105.0,0.7000,30.00,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-005,SYN-OC-NOMINAL,Linear LED Channel,13.50,85.0,0.3710,10.815,4.012,0.3963,0.3710,N/A,0.996,116.9,0.7792,22.08,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-005,SYN-OC-HIGHLINE-HOT,Linear LED Channel,16.00,105.0,0.3710,10.815,4.012,0.3344,0.3710,N/A,1.924,166.6,1.1104,-11.04,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-005,SYN-OC-HIGHLOAD-HOT,Linear LED Channel,9.00,105.0,0.3896,10.815,4.213,0.6241,0.3896,N/A,0.000,105.0,0.7000,30.00,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-006,SYN-OC-LOWLINE-HOT,Buck LED Driver,9.00,105.0,0.5300,12.360,6.551,0.8527,0.5830,0.5830,1.124,129.7,0.8648,13.52,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-006,SYN-OC-NOMINAL,Buck LED Driver,13.50,85.0,0.5300,12.360,6.551,0.5685,0.5830,0.5830,1.124,109.7,0.7314,26.86,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-006,SYN-OC-HIGHLINE-HOT,Buck LED Driver,16.00,105.0,0.5300,12.360,6.551,0.4796,0.5830,0.5830,1.124,129.7,0.8648,13.52,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-006,SYN-OC-HIGHLOAD-HOT,Buck LED Driver,9.00,105.0,0.5565,12.360,6.878,0.8953,0.6122,0.6122,1.180,131.0,0.8730,12.70,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-007,SYN-OC-LOWLINE-HOT,Boost LED Driver,9.00,105.0,0.4770,24.000,11.448,1.5588,1.7926,1.7926,2.581,156.6,1.1204,-12.04,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-007,SYN-OC-NOMINAL,Boost LED Driver,13.50,85.0,0.4770,24.000,11.448,1.0392,1.1951,1.1951,2.581,136.6,0.9109,8.91,Review,Review required,At least one stress ratio is at or above 0.80.
