Synthetic_Label,Human_Review_Note,Publication_Classification,Requirement_ID,Requirement_Text,Detected_Domain_Category,Verification_Method,Suggested_Verification_Evidence,Acceptance_Criteria,Risk_Ambiguity_Flag,Reviewer_Notes
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-001,The lighting module shall operate from 9.0 V to 16.0 V input without loss of commanded function.,Power Input / Electrical,test,Bench input voltage sweep at low/nominal/high values using synthetic data; reviewer to verify evidence and status.,Numeric range detected: 9.0 V to 16.0 V.,Medium risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-002,Low beam output shall remain enabled when commanded ON and input voltage is within the normal operating range.,Low Beam / Functional,test,Command low beam ON across voltage cases and log output state using synthetic data; reviewer to verify evidence and status.,Expected commanded state is observed for the synthetic operating case.,"Medium risk; needs review for Missing numeric limits, Unclear owner.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-003,High beam output shall remain disabled unless the high beam command is active.,High Beam / Functional,test,Command truth-table test for high beam enable/disable using synthetic data; reviewer to verify evidence and status.,Expected commanded state is observed for the synthetic operating case.,Low risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-004,The DRL mode shall command reduced current relative to full-intensity operation.,DRL / Functional,analysis + test,Compare commanded current in full and DRL modes using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"Medium risk; needs review for Missing numeric limits, Source ambiguity flag, Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-005,The tool shall flag any requirement that lacks a verification method.,Software Workflow / Process,inspection,Review generated trace matrix for blank verification fields using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",Low risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-006,The output report shall separate assumptions from verified facts.,Documentation / Process,inspection,Inspect report sections for assumption and fact separation using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",Medium risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-007,All public examples shall be labeled as synthetic demonstration data.,Data Safety / Governance,inspection,Check exported files for synthetic-data banner using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-008,Thermal review shall be required if estimated board temperature exceeds the configured demo threshold.,Thermal / Analysis,analysis,Run feasibility calculation and inspect risk flag using synthetic data; reviewer to verify evidence and status.,Reviewer-defined synthetic threshold triggers the expected review flag.,"Medium risk; needs review for Missing numeric limits, Unclear owner.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-009,"The trace matrix shall include requirement ID, subsystem, requirement type, verification method, risk, and review status.",Traceability / Process,inspection,Inspect exported CSV/XLSX headers using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",Low risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-010,Ambiguous requirements shall be flagged before inclusion in a design-review packet.,Review Workflow / Process,inspection,Review ambiguity flag and reviewer disposition using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"Medium risk; needs review for Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-011,The system shall record open questions generated during requirements review.,Review Workflow / Process,inspection,Inspect open-question register using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",Low risk; needs review for Unclear owner.,TBD - qualified engineer review required
