Synthetic_Label,Human_Review_Note,Publication_Classification,Engineering_Review_Required,Sweep_Name,Variable_Name,Sweep_Setting_Label,Base_Value,Sweep_Value,Sweep_Unit,Case_ID,Load_Name,Driver_Topology,Applied_Ambient_Temp_C,Applied_LED_Current_A,Applied_Board_Thermal_Resistance_C_per_W,Applied_LED_Thermal_Resistance_C_per_W,Applied_Optical_Efficiency_pct,Base_Status,Sweep_Status,Output_Power_W,Input_Current_at_Min_V_A,Voltage_Headroom_V,Boost_Duty_Cycle,Driver_Temp_Margin_C,LED_Temp_Margin_C,Max_Ratio,Reason
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,70%,100.0000,70.0000,%,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.5000,18.0000,25.0000,70.00,Pass,Marginal,2.646,0.337,1.70,N/A,33.07,16.92,0.87,LED junction temperature ratio 0.87 is at or above 0.85
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,85%,100.0000,85.0000,%,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.4118,18.0000,25.0000,85.00,Pass,Pass,2.179,0.277,1.70,N/A,34.29,22.76,0.83,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,100%,100.0000,100.0000,%,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.3500,18.0000,25.0000,100.00,Pass,Pass,1.852,0.236,1.70,N/A,35.15,26.85,0.80,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,115%,100.0000,115.0000,%,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.3043,18.0000,25.0000,115.00,Pass,Pass,1.611,0.205,1.70,N/A,35.78,29.87,0.78,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,130%,100.0000,130.0000,%,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.2692,18.0000,25.0000,130.00,Pass,Pass,1.425,0.181,1.70,N/A,36.27,32.19,0.76,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,70%,100.0000,70.0000,%,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.3571,18.0000,20.0000,70.00,Marginal,Marginal,3.189,0.406,0.19,N/A,31.65,28.74,0.80,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,85%,100.0000,85.0000,%,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2941,18.0000,20.0000,85.00,Marginal,Marginal,2.627,0.334,0.19,N/A,33.12,32.49,0.76,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,100%,100.0000,100.0000,%,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2500,18.0000,20.0000,100.00,Marginal,Marginal,2.233,0.284,0.19,N/A,34.15,35.12,0.74,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,115%,100.0000,115.0000,%,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2174,18.0000,20.0000,115.00,Marginal,Marginal,1.941,0.247,0.19,N/A,34.92,37.06,0.73,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,optical_efficiency_sweep,optical_efficiency_percent,130%,100.0000,130.0000,%,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.1923,18.0000,20.0000,130.00,Marginal,Marginal,1.717,0.219,0.19,N/A,35.50,38.55,0.72,voltage headroom 0.19 V is 0.75 V or less
