Synthetic_Label,Human_Review_Note,Publication_Classification,Engineering_Review_Required,Sweep_Name,Variable_Name,Sweep_Setting_Label,Base_Value,Sweep_Value,Sweep_Unit,Case_ID,Load_Name,Driver_Topology,Applied_Ambient_Temp_C,Applied_LED_Current_A,Applied_Board_Thermal_Resistance_C_per_W,Applied_LED_Thermal_Resistance_C_per_W,Applied_Optical_Efficiency_pct,Base_Status,Sweep_Status,Output_Power_W,Input_Current_at_Min_V_A,Voltage_Headroom_V,Boost_Duty_Cycle,Driver_Temp_Margin_C,LED_Temp_Margin_C,Max_Ratio,Reason
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,75C,85.0000,75.0000,C,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,75.00,0.3500,18.0000,25.0000,N/A,Pass,Pass,1.852,0.236,1.70,N/A,45.15,36.85,0.73,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,85C,85.0000,85.0000,C,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.3500,18.0000,25.0000,N/A,Pass,Pass,1.852,0.236,1.70,N/A,35.15,26.85,0.80,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,95C,85.0000,95.0000,C,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,95.00,0.3500,18.0000,25.0000,N/A,Pass,Marginal,1.852,0.236,1.70,N/A,25.15,16.85,0.88,LED junction temperature ratio 0.88 is at or above 0.85
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,105C,85.0000,105.0000,C,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,105.00,0.3500,18.0000,25.0000,N/A,Pass,Marginal,1.852,0.236,1.70,N/A,15.15,6.85,0.95,driver case temperature ratio 0.88 is at or above 0.85; LED junction temperature ratio 0.95 is at or above 0.85; LED junction margin 6.8 C is 10 C or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,115C,85.0000,115.0000,C,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,115.00,0.3500,18.0000,25.0000,N/A,Pass,Fail,1.852,0.236,1.70,N/A,5.15,-3.15,1.02,LED junction temperature ratio 1.02 exceeds 1.00; LED junction margin -3.2 C is below 0 C
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,75C,85.0000,75.0000,C,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,75.00,0.2500,18.0000,20.0000,N/A,Marginal,Marginal,2.233,0.284,0.19,N/A,44.15,45.12,0.67,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,85C,85.0000,85.0000,C,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2500,18.0000,20.0000,N/A,Marginal,Marginal,2.233,0.284,0.19,N/A,34.15,35.12,0.74,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,95C,85.0000,95.0000,C,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,95.00,0.2500,18.0000,20.0000,N/A,Marginal,Marginal,2.233,0.284,0.19,N/A,24.15,25.12,0.81,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,105C,85.0000,105.0000,C,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,105.00,0.2500,18.0000,20.0000,N/A,Marginal,Marginal,2.233,0.284,0.19,N/A,14.15,15.12,0.89,driver case temperature ratio 0.89 is at or above 0.85; LED junction temperature ratio 0.89 is at or above 0.85; voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,115C,85.0000,115.0000,C,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,115.00,0.2500,18.0000,20.0000,N/A,Marginal,Marginal,2.233,0.284,0.19,N/A,4.15,5.12,0.97,driver case temperature ratio 0.97 is at or above 0.85; LED junction temperature ratio 0.96 is at or above 0.85; voltage headroom 0.19 V is 0.75 V or less; driver thermal margin 4.2 C is 10 C or less; LED junction margin 5.1 C is 10 C or less
