Case_ID,Case_Name,Parameter,Nominal_Value,Min_Value,Max_Value,Units,Condition,Calculated_Result,Pass_Fail_or_Margin,Notes,Topology,VIN_Min_V,VIN_Nom_V,VIN_Max_V,LED_String_VF_Nom_V,LED_String_VF_Tol_pct,LED_Current_A,Ambient_Temp_C,Efficiency_Assumption,Efficiency_Tol_pct,Current_Tol_pct,Sense_Res_Tol_pct,Inductor_Tol_pct,Switch_Current_Rating_A,Inductor_Current_Rating_A,Input_Voltage_Rating_V,Thermal_Rise_C_per_W,Max_Junction_Temp_C,Output_Power_W,Review_Status
SYN-WCCA-001,LED string current set resistor tolerance,Current setpoint,0.70,0.665,0.735,A,Low beam nominal,Generated by CLI,Generated by CLI,Synthetic buck current tolerance case,Buck LED Driver,9.0,13.5,16.0,6.4,3,0.70,85,0.88,3,5,1,20,1.50,1.40,40,18,150,4.48,Needs review
SYN-WCCA-002,LED forward voltage variation,LED string voltage,8.20,7.95,8.45,V,Low beam high forward voltage,Generated by CLI,Generated by CLI,Synthetic LED VF tolerance case,Buck LED Driver,9.0,13.5,16.0,8.2,3,0.80,85,0.87,3,5,1,20,1.75,1.60,40,18,150,6.56,Needs review
SYN-WCCA-003,Boost LED driver margin,Boost output power,11.10,10.65,11.55,W,High forward voltage string,Generated by CLI,Generated by CLI,Synthetic boost stress case,Boost LED Driver,9.0,13.5,16.0,18.5,4,0.60,95,0.86,4,5,1,20,2.20,2.00,40,20,150,11.10,Needs review
SYN-WCCA-004,SEPIC elevated load condition,SEPIC output current,1.00,0.94,1.06,A,Elevated current corner,Generated by CLI,Generated by CLI,Synthetic missing thermal-rise warning case,SEPIC LED Driver,9.0,13.5,16.0,13.2,4,1.00,105,0.84,5,5,1,20,2.50,2.20,40,,150,13.20,Needs review
SYN-WCCA-005,Linear driver power dissipation,Linear channel current,0.35,0.33,0.37,A,Marker lamp nominal,Generated by CLI,Generated by CLI,Synthetic linear driver dissipation case,Linear LED Channel,9.0,13.5,16.0,10.5,3,0.35,85,0.75,0,5,1,0,0.80,,24,32,150,3.68,Needs review
SYN-WCCA-006,DRL reduced output condition,DRL channel current,0.50,0.47,0.53,A,Reduced output mode,Generated by CLI,Generated by CLI,Synthetic DRL current case,Buck LED Driver,9.0,13.5,16.0,12.0,3,0.50,105,0.88,3,5,1,20,1.25,1.10,40,22,150,6.00,Needs review
SYN-WCCA-007,Boost high string voltage condition,LED string voltage,24.00,23.04,24.96,V,Long string boost case,Generated by CLI,Generated by CLI,Synthetic missing VF tolerance default case,Boost LED Driver,9.0,13.5,16.0,24.0,,0.45,95,0.85,4,5,1,20,1.80,1.60,40,20,150,10.80,Needs review
SYN-WCCA-008,Turn signal elevated temperature condition,Turn signal channel current,0.80,0.75,0.85,A,Hot turn signal mode,Generated by CLI,Generated by CLI,Synthetic missing junction limit warning case,SEPIC LED Driver,9.0,13.5,16.0,15.0,4,0.80,105,0.83,5,5,1,20,2.20,2.00,40,24,,12.00,Needs review
SYN-WCCA-009,PWM dimming duty-cycle condition,PWM effective current,0.65,0.59,0.71,A,PWM dimmed operation,Generated by CLI,Generated by CLI,Synthetic PWM dimming WCCA case,Buck LED Driver,9.0,13.5,16.0,9.6,3,0.65,95,0.89,3,6,1,20,1.35,1.25,40,19,150,6.24,Needs review
SYN-WCCA-010,Side-marker low-current load,Marker current,0.12,0.108,0.132,A,Low current side marker,Generated by CLI,Generated by CLI,Synthetic low-current linear channel case,Linear LED Channel,9.0,13.5,16.0,6.0,4,0.12,85,0.75,0,8,1,0,0.35,,24,30,150,0.72,Needs review
SYN-WCCA-011,Harness voltage drop estimate,Input voltage after drop,8.50,8.10,8.90,V,Low-line with harness drop,Generated by CLI,Generated by CLI,Synthetic harness-drop input range case,Buck LED Driver,8.5,13.2,16.0,7.2,3,0.55,85,0.87,3,5,1,20,1.20,1.10,36,20,150,3.96,Needs review
SYN-WCCA-012,Diagnostic threshold margin,Diagnostic current threshold,0.03,0.025,0.035,A,Diagnostic low-current check,Generated by CLI,Generated by CLI,Synthetic diagnostic threshold margin case,Linear LED Channel,9.0,13.5,16.0,3.2,5,0.03,105,0.70,0,10,1,0,0.12,,24,45,125,0.096,Needs review
SYN-WCCA-013,Capacitor tolerance ripple case,Ripple-related current stress,0.40,0.36,0.44,A,Boost ripple stress corner,Generated by CLI,Generated by CLI,Synthetic capacitor tolerance and ripple case,Boost LED Driver,9.0,13.5,16.0,16.0,4,0.40,85,0.86,4,4,1,30,1.40,1.30,40,18,150,6.40,Needs review
SYN-WCCA-014,High-output SEPIC margin,SEPIC output power,14.00,13.20,14.80,W,High-output hot corner,Generated by CLI,Generated by CLI,Synthetic high-output SEPIC margin case,SEPIC LED Driver,9.0,13.5,16.0,20.0,4,0.70,105,0.82,5,5,1,20,2.30,2.10,40,22,150,14.00,Needs review
SYN-WCCA-015,Thermal derating estimate,Thermal rise estimate,8.25,7.75,8.75,W,High ambient thermal review,Generated by CLI,Generated by CLI,Synthetic thermal derating estimate case,Buck LED Driver,9.0,13.5,16.0,11.0,3,0.75,115,0.86,4,5,1,20,1.50,1.40,40,25,150,8.25,Needs review
