Synthetic_Label,Human_Review_Note,Publication_Classification,Engineering_Review_Required,Sweep_Name,Variable_Name,Sweep_Setting_Label,Base_Value,Sweep_Value,Sweep_Unit,Case_ID,Load_Name,Driver_Topology,Applied_Ambient_Temp_C,Applied_LED_Current_A,Applied_Board_Thermal_Resistance_C_per_W,Applied_LED_Thermal_Resistance_C_per_W,Applied_Optical_Efficiency_pct,Base_Status,Sweep_Status,Output_Power_W,Input_Current_at_Min_V_A,Voltage_Headroom_V,Boost_Duty_Cycle,Driver_Temp_Margin_C,LED_Temp_Margin_C,Max_Ratio,Reason
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,80%,0.3500,0.2800,A,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.2800,18.0000,25.0000,N/A,Pass,Pass,1.482,0.189,1.70,N/A,36.12,31.48,0.77,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,90%,0.3500,0.3150,A,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.3150,18.0000,25.0000,N/A,Pass,Pass,1.667,0.212,1.70,N/A,35.63,29.16,0.78,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,100%,0.3500,0.3500,A,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.3500,18.0000,25.0000,N/A,Pass,Pass,1.852,0.236,1.70,N/A,35.15,26.85,0.80,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,110%,0.3500,0.3850,A,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.3850,18.0000,25.0000,N/A,Pass,Pass,2.037,0.259,1.70,N/A,34.66,24.53,0.82,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,120%,0.3500,0.4200,A,SYN-LGT-001,Synthetic two-LED DRL segment,Buck LED Driver,85.00,0.4200,18.0000,25.0000,N/A,Pass,Pass,2.223,0.283,1.70,N/A,34.18,22.22,0.84,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,80%,0.2500,0.2000,A,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2000,18.0000,20.0000,N/A,Marginal,Marginal,1.786,0.227,0.19,N/A,35.32,38.09,0.72,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,90%,0.2500,0.2250,A,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2250,18.0000,20.0000,N/A,Marginal,Marginal,2.009,0.256,0.19,N/A,34.74,36.60,0.73,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,100%,0.2500,0.2500,A,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2500,18.0000,20.0000,N/A,Marginal,Marginal,2.233,0.284,0.19,N/A,34.15,35.12,0.74,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,110%,0.2500,0.2750,A,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.2750,18.0000,20.0000,N/A,Marginal,Marginal,2.456,0.313,0.19,N/A,33.57,33.63,0.75,voltage headroom 0.19 V is 0.75 V or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,led_current_sweep,led_current_a,120%,0.2500,0.3000,A,SYN-LGT-002,Synthetic three-LED signature,Buck LED Driver,85.00,0.3000,18.0000,20.0000,N/A,Marginal,Marginal,2.679,0.341,0.19,N/A,32.98,32.14,0.76,voltage headroom 0.19 V is 0.75 V or less
